α,η,β,σ,μ,ϕ,A,θ,τ_w (female),τ_w (male),average class size,cv of class size,share of teachers among female,share of teachers among male,share of female vs male teachers,average good investment in T female,average good investment in T male,average good investment in O female,average good investment in O male,s_T/s_O,average wage in T female,average wage in T male,average wage in O female,average wage in O male,average ability in T female,average ability in T male,average ability in O female,average ability in O male,wage dispersion in T,wage dispersion in O
0.1,0.1,0.3,0.4,0.5,0.3333333333333333,10.0,3.0,-3.0,-4.0,0.5000034655035595,1.6485072793350402,0.2984239784348212,0.24125947093295882,0.5529611456204824,0.5618693689568489,0.7072802129934483,0.89427633005991,1.13760517724712,0.7619047619047618,11.251483451332483,10.64497201436595,11.682840379551042,14.860750138214485,2.804161538505414,2.9998511888280133,2.0987849078186223,1.9951117110023273,1.6492232984483763,0.6353852844330271
0.15,0.1,0.3,0.4,0.5,0.3333333333333333,10.0,3.0,-3.0,-4.0,0.5000055423415131,1.618277038824587,0.3077039870491924,0.2500529222396752,0.5516811749432396,0.5825638854322567,0.7269361815400883,0.9560497344247331,1.211844092797741,0.7619047619047618,11.651857727554157,11.027502249339658,12.528162609255881,15.878963261709757,2.775921826460712,2.966946609939302,2.1164346095678863,2.0105317584712745,1.6189549414457947,0.6604020617854109
0.2,0.1,0.3,0.4,0.5,0.3333333333333333,10.0,3.0,-3.0,-4.0,0.5000078736664586,1.591759507430014,0.31704818785958205,0.25897051228763357,0.550413012248652,0.60519169528806,0.748658127337653,1.0233457332292903,1.2925715236018558,0.7619047619047618,12.092505835517697,11.447788416705679,13.453308036003886,16.99125968609657,2.748316744343,2.934724620207814,2.1344591612031962,2.026356243204092,1.5924036594084259,0.6900085037744734
0.25,0.1,0.3,0.4,0.5,0.3333333333333333,10.0,3.0,-3.0,-4.0,0.5000104815901605,1.568883972105161,0.32644465087863495,0.2680022170558285,0.5491569869195186,0.631545399106587,0.7745987833930295,1.0995565739225652,1.3840036585446331,0.7619047619047618,12.608988586074773,11.939499869273234,14.503680321139974,18.253985393548497,2.721347424027106,2.9031872865580723,2.1528489225597545,2.0425811754675256,1.5694989711167509,0.7240341408992623
0.3,0.1,0.3,0.4,0.5,0.3333333333333333,10.0,3.0,-3.0,-4.0,0.50001338616289,1.5495904116583337,0.3358810660265842,0.277137386737668,0.5479134673875039,0.6614889029769312,0.8044942335681279,1.1849759196168483,1.4864156748062847,0.7619047619047618,13.198613248149233,12.500096434616541,15.684705519248597,19.67261934619383,2.695014591535411,2.8723363934063926,2.1715928167679164,2.059201257599504,1.550181096971923,0.7623267722297756
0.1,0.15,0.3,0.4,0.5,0.3333333333333333,10.0,3.0,-3.0,-4.0,0.5000035237784275,1.6177296311261795,0.3068239525225729,0.24821492333702266,0.5527972289281374,0.9401853325260984,1.1993144067886903,1.5385262715584225,1.984614910999765,0.7530864197530864,12.630058548712086,12.03615058277672,13.430454801895909,17.323379433273093,2.7658324188881873,2.958111409000297,2.1165128334499586,2.008562599996361,1.6180765694143773,0.6498683730009233
0.1,0.2,0.3,0.4,0.5,0.3333333333333333,10.0,3.0,-3.0,-4.0,0.5000035803717163,1.5836289857989343,0.31651658010765443,0.25624901557241003,0.5526110201012393,1.4753986092548441,1.910263777263534,2.490619589711588,3.2634003861128793,0.7435897435897435,14.975551239371848,14.385676077574304,16.352830132441134,21.42516745169318,2.723912462721673,2.9124954295230325,2.137284180640194,2.024277482664639,1.5835390831334193,0.6666476843071154
0.1,0.25,0.3,0.4,0.5,0.3333333333333333,10.0,3.0,-3.0,-4.0,0.5000036324780661,1.545654203986982,0.32781097130939685,0.26562207850606895,0.5523975643273206,2.3365624230311512,3.0765329013028344,4.085090012089828,5.4480349544855535,0.7333333333333333,19.133467659646733,18.54241844407979,21.524742646867136,28.70396495962796,2.677896735066863,2.862463991348967,2.161932066586363,2.0428614800892593,1.5450399599766755,0.6862942064694244
0.1,0.3,0.3,0.4,0.5,0.3333333333333333,10.0,3.0,-3.0,-4.0,0.5000036783124231,1.5031272567793534,0.3411194038947343,0.2766823579956656,0.5521502607097615,3.8923616942950985,5.224016653873869,7.081403039254835,9.636055393028025,0.7222222222222222,26.834548119041393,26.260187096578438,31.216458984503184,42.47427845046058,2.6271872106977483,2.8073794058969725,2.1916178804900173,2.06515131459314,1.5018732542538358,0.709582878398494
0.1,0.1,0.325,0.4,0.5,0.3333333333333333,10.0,3.0,-3.0,-4.0,0.5000041561833257,1.6879164535578632,0.2883997840510962,0.23315122736121768,0.5529656308596452,0.5968555887172757,0.7516770221378669,0.8474359741165751,1.0785124117561131,0.8221343873517786,10.970095650694981,10.4393253217529,11.037229023578544,14.04602423436494,2.9101578626643265,3.1222543124803206,2.070569713749895,1.9742186305051148,1.6884407428087431,0.6220525998791692
0.1,0.1,0.35,0.4,0.5,0.3333333333333333,10.0,3.0,-3.0,-4.0,0.500004920219665,1.7281098329934779,0.27863416781528666,0.22525222221494196,0.5529702197326091,0.6263514752131316,0.7891802565266662,0.797834467266084,1.0158265952778545,0.8818897637795274,10.635104200248431,10.177892986777401,10.364296242209074,13.19547257761897,3.0156660570304483,3.2437202898296906,2.0437528648490577,1.954233165971238,1.728458110313361,0.6090846054595906
0.1,0.1,0.375,0.4,0.5,0.3333333333333333,10.0,3.0,-3.0,-4.0,0.5000057638017952,1.7690620968734658,0.26913577731041083,0.21756956772195932,0.5529747722259162,0.6518184535170115,0.8216191491755401,0.7485100805494586,0.9534167549227315,0.9411764705882353,10.27660219997963,9.888887486873127,9.697581355584386,12.35181659133036,3.1205519792386167,3.364069510041948,2.0183434416968282,1.9351797671128679,1.769248946424176,0.5964782256937898
0.1,0.1,0.4,0.4,0.5,0.3333333333333333,10.0,3.0,-3.0,-4.0,0.5000066888767004,1.8107539432945896,0.25990969681625403,0.21010749232258394,0.5529791310238221,0.6722187463003976,0.847675566896424,0.6988864327802778,0.8905530819181678,1.0,9.886833696245947,9.564581368054672,9.031678652825311,11.508229059789093,3.224732148885239,3.4831873781622495,1.9943298222308934,1.9170669139525771,1.810792850527883,0.5842277517379357
