λf,share_teachers_female,κ,share_teachers_male,γ,p90_p10_ω_teachers,θ,p90_p10_w_other,η,α
1.0255,0.051,0.301,0.0244,0.83,7.87,1.476,9.91,0.103,1.0
1.0128,0.0356,0.301,0.025,0.83,7.43,1.476,9.93,0.103,1.0
1.0032,0.0278,0.301,0.0255,0.83,7.29,1.476,9.92,0.103,1.0
1.0,0.0131,0.19,0.0131,0.83,6.76,1.476,9.93,0.103,1.0
1.0,0.0126,0.185,0.0126,0.83,6.72,1.476,9.93,0.103,1.0
1.0,0.012,0.179,0.012,0.83,6.68,1.476,9.93,0.103,1.0
1.0,0.012,0.179,0.012,0.83,6.68,1.476,9.93,0.103,1.0
1.0,0.012,0.179,0.012,0.83,6.68,1.476,9.93,0.103,1.0
