λf,share_teachers_female,κ,share_teachers_male,γ,p90_p10_ω_teachers,θ,p90_p10_w_other,η,α
1.034,0.0153,0.19,0.0129,0.83,6.84,1.476,9.73,0.103,1.0
1.034,0.0147,0.185,0.0124,0.83,6.8,1.476,9.73,0.103,1.0
1.034,0.0142,0.18,0.0119,0.83,6.77,1.476,9.73,0.103,1.0
1.034,0.0143,0.181,0.012,0.83,6.78,1.476,9.73,0.103,1.0
0.879,0.0187,0.181,0.0117,0.83,7.09,1.476,9.73,0.103,1.0
0.879,0.0164,0.165,0.0102,0.83,6.97,1.476,9.73,0.103,1.0
0.879,0.019,0.183,0.0119,0.83,7.1,1.476,9.73,0.103,1.0
0.879,0.0192,0.184,0.012,0.83,7.11,1.476,9.73,0.103,1.0
0.879,0.0192,0.184,0.012,0.83,7.11,1.476,9.73,0.103,1.0
0.879,0.0192,0.184,0.012,0.83,7.11,1.476,9.73,0.103,1.0
0.925,0.0185,0.568,0.0127,0.83,7.03,1.476,9.73,0.103,1.0
0.925,0.0181,0.56,0.0124,0.83,7.01,1.476,9.73,0.103,1.0
0.925,0.0176,0.55,0.0121,0.83,6.99,1.476,9.73,0.103,1.0
0.925,0.0185,0.568,0.0127,0.83,7.03,1.476,9.73,0.103,1.0
0.925,0.0176,0.55,0.0121,0.83,6.99,1.476,9.73,0.103,1.0
0.925,0.0405,0.568,0.0118,0.83,8.37,1.476,9.9,0.103,1.0
0.925,0.0334,0.568,0.012,0.83,8.17,1.476,9.9,0.103,1.0
0.925,0.0273,0.568,0.0122,0.83,7.77,1.476,9.87,0.103,1.0
0.925,0.0223,0.568,0.0125,0.83,7.36,1.476,9.83,0.103,1.0
0.925,0.0185,0.568,0.0127,0.83,7.03,1.476,9.73,0.103,1.0
0.925,0.0185,0.568,0.0127,0.83,7.03,1.476,9.73,0.103,1.0
0.925,0.0185,0.568,0.0127,0.83,7.03,1.476,9.73,0.103,1.0
0.925,0.0224,0.65,0.0155,0.83,7.19,1.476,9.72,0.103,1.0
0.925,0.0224,0.65,0.0155,0.83,7.19,1.476,9.72,0.103,1.0
0.925,0.0224,0.65,0.0155,0.83,7.19,1.476,9.72,0.103,1.0
0.925,0.0185,0.568,0.0127,0.83,7.03,1.476,9.73,0.103,1.0
0.925,0.0185,0.568,0.0127,0.83,7.03,1.476,9.73,0.103,1.0
0.925,0.0181,0.56,0.0124,0.83,7.01,1.476,9.73,0.103,1.0
0.925,0.0176,0.55,0.0121,0.83,6.99,1.476,9.73,0.103,1.0
0.925,0.0176,0.55,0.0121,0.83,6.99,1.476,9.73,0.103,1.0
0.925,0.0176,0.55,0.0121,0.83,6.99,1.476,9.73,0.103,1.0
1.034,0.034,0.19,0.012,0.83,8.02,1.476,9.9,0.103,1.0
1.0148,0.0288,0.19,0.0122,0.83,7.86,1.476,9.91,0.103,1.0
0.9859,0.0223,0.19,0.0125,0.83,7.37,1.476,9.85,0.103,1.0
0.9642,0.0185,0.19,0.0127,0.83,7.05,1.476,9.78,0.103,1.0
0.957,0.0174,0.19,0.0128,0.83,6.96,1.476,9.73,0.103,1.0
0.957,0.0168,0.185,0.0123,0.83,6.93,1.476,9.73,0.103,1.0
0.957,0.0163,0.181,0.0119,0.83,6.9,1.476,9.73,0.103,1.0
0.957,0.0164,0.182,0.012,0.83,6.91,1.476,9.73,0.103,1.0
0.957,0.0164,0.182,0.012,0.83,6.91,1.476,9.73,0.103,1.0
