year,group,cohort,occ_code,num,occ_income,occ_grade,occ_wage,occ_ln_income_arith,occ_ln_income_geo,occ_ln_wage_arith,occ_ln_wage_geo,occ_var_ln_income,occ_var_ln_wage
2012,1,0,5,926002.5,76625.95,15.2035,34.28503,11.24669,11.09855,3.534709,3.398078,.2963718,.2783099
2012,1,0,6,203763.5,82285.78,17.6764,36.43518,11.31795,11.13521,3.595535,3.417962,.3527919,.3555772
2012,1,0,7,372449.5,207090.7,19.08961,81.66802,12.24091,11.95326,4.402663,4.097183,.6895434,.7423088
2012,1,0,8,203699.5,90590.2,16.43326,42.20085,11.4141,11.25523,3.74244,3.592762,.3127307,.2991684
2012,1,0,9,120082,80627.38,16.99584,36.65351,11.29759,11.12498,3.601509,3.442184,.3407373,.312764
2012,1,0,10,285904.5,70105.46,19.34132,30.15245,11.15776,10.94657,3.406266,3.210515,.4197254,.3986911
2012,1,0,11,907750.5,54555.45,17.28667,24.53861,10.90697,10.80045,3.200248,3.091255,.2251015,.2245646
2012,1,0,12,20788.5,55828.44,18.17832,26.21445,10.93004,10.80567,3.266311,3.160716,.2532208,.2210798
2012,1,0,13,118939.5,97748.55,17.25708,41.65555,11.49015,11.26136,3.729435,3.526166,.4403372,.3991205
2012,1,0,14,290596.5,47052.89,16.62727,20.5527,10.75903,10.62786,3.022992,2.892224,.2769744,.2774824
2012,1,0,15,382698.5,168279.9,19.04376,65.7271,12.03338,11.76523,4.185511,3.937375,.5794404,.5356439
2012,1,0,16,662700,67029.24,15.79691,29.30537,11.11288,10.84903,3.377771,3.133211,.5305644,.499261
2012,1,0,17,242598.5,58204.34,14.40837,25.93503,10.97171,10.81907,3.255594,3.102678,.2850003,.2873968
2012,1,0,18,346083.5,57445.16,13.85167,26.23158,10.95859,10.85195,3.266964,3.164522,.2234297,.218527
2012,1,0,19,49890.5,59097.39,14.00006,26.44995,10.98694,10.84634,3.275254,3.139155,.2636276,.2602209
2012,1,0,20,812002.5,90345.64,15.75665,40.4346,11.4114,11.2611,3.699686,3.553138,.3167841,.3111317
2012,1,0,21,3870196,73958.81,14.26186,30.88811,11.21126,10.88904,3.430371,3.134964,.6070616,.5550204
2012,1,0,22,81809.5,48223.2,14.66695,22.09787,10.7836,10.61119,3.095481,2.945737,.313346,.2777715
2012,1,0,23,103514.5,45489.27,14.48287,20.50901,10.72523,10.48414,3.020864,2.822687,.4241262,.3651561
2012,1,0,24,68423,43241.22,14.40292,20.08777,10.67455,10.5117,3.000111,2.855549,.3096139,.2820835
2012,1,0,25,107448,52440.38,14.40418,23.6428,10.86743,10.65305,3.163059,2.976045,.368765,.3378792
2012,1,0,26,19237,47065.71,13.29298,22.38886,10.7593,10.67136,3.108563,3.028064,.1935036,.17443
2012,1,0,27,41452,56222.91,14.12981,26.0136,10.93708,10.7677,3.25862,3.102707,.3278829,.312331
2012,1,0,28,214769.5,50928.11,13.2104,23.04628,10.83817,10.72774,3.137504,3.039207,.2436712,.2232313
2012,1,0,29,778338,41567.53,13.16398,18.96917,10.63507,10.46472,2.942815,2.796175,.3194399,.2754594
2012,1,0,30,473331.5,49933.32,14.33403,22.62278,10.81844,10.62399,3.118957,2.949251,.3671135,.3245381
2012,1,0,31,211919,50373.23,14.54761,22.94457,10.82722,10.60482,3.133081,2.938648,.3884615,.3430797
2012,1,0,32,48538.5,25941.44,11.91209,12.60756,10.1636,10.02168,2.534297,2.404211,.2666885,.2520182
2012,1,0,33,241214,69950.13,13.69698,26.62823,11.15554,11.05916,3.281972,3.170361,.2085338,.2382266
2012,1,0,34,783673,65288.85,13.99862,29.44102,11.08658,10.97795,3.382389,3.276435,.2306754,.2269555
2012,1,0,35,292014.5,43125.02,13.62443,19.79601,10.67186,10.48976,2.985481,2.823619,.3551439,.3168266
2012,1,0,36,1104650,27904.32,13.08601,13.078,10.23654,10.06771,2.570931,2.428573,.3143416,.2715905
2012,1,0,37,181069.5,38163.63,14.06112,17.66192,10.54964,10.32227,2.871411,2.662645,.3859517,.3654517
2012,1,0,38,726162.5,36141.24,12.44971,16.89375,10.49519,10.33556,2.826944,2.681406,.3131305,.2875718
2012,1,0,39,295048,42509.48,14.20112,19.52409,10.65748,10.44502,2.971649,2.772839,.4328271,.4144479
2012,1,0,40,262522.5,60626.02,12.91712,21.73134,11.01248,10.59582,3.078755,2.643748,.8426321,.8939898
2012,1,0,41,290203.5,28687.83,10.16754,12.06252,10.26423,10.11106,2.490103,2.339394,.2892574,.284722
2012,1,0,42,652270,33127.98,11.77998,15.03506,10.40813,10.19687,2.710385,2.521832,.4024324,.3688452
2012,1,0,43,89857,42753.59,11.89344,17.62788,10.66321,10.4601,2.869482,2.668178,.3966924,.4040367
2012,1,0,44,1381467,48056.96,12.4293,21.23267,10.78014,10.63956,3.055541,2.920223,.3077789,.301269
2012,1,0,45,583325,50512.05,13.02157,23.16484,10.82997,10.7023,3.142636,3.018269,.2745568,.2704138
2012,1,0,46,502535.5,48030.74,12.60491,21.85892,10.7796,10.638,3.084609,2.949003,.3043121,.2945783
2012,1,0,47,3720166,46490.7,12.16656,21.22972,10.74701,10.55957,3.055402,2.880642,.3889969,.3683235
2012,1,0,48,118145,60457.52,11.99218,22.78594,11.0097,10.86737,3.126144,2.983644,.3097008,.3083175
2012,1,0,49,426528.5,60512.3,12.83303,25.88422,11.0106,10.87723,3.253633,3.130019,.2590245,.2406272
2012,1,0,50,240985,48803.27,12.45753,21.78008,10.79555,10.69677,3.080996,2.987962,.2120219,.2003781
2012,1,0,51,37263,37159.21,12.28938,17.05143,10.52297,10.37996,2.836234,2.702532,.2997948,.2904772
2012,1,0,52,23597.5,38838.83,11.97152,17.77277,10.56718,10.29839,2.877667,2.62195,.4257359,.4171605
2012,1,0,53,92810.5,42324.29,13.34325,19.86074,10.65312,10.50131,2.988745,2.851209,.2888573,.2702158
2012,1,0,54,139274,33050.35,11.51886,15.34835,10.40579,10.28219,2.731008,2.618641,.2533216,.2358941
2012,1,0,55,141575.5,62110.27,12.94588,28.03106,11.03667,10.90639,3.333313,3.209852,.2759075,.2680457
2012,1,0,56,77520.5,37854.71,11.8333,17.17159,10.54151,10.43451,2.843256,2.745039,.2216183,.2058757
2012,1,0,57,25859,40905.16,12.08554,18.25837,10.61901,10.51522,2.904623,2.812755,.2194546,.1977283
2012,1,0,58,185945,38462.01,11.92355,17.55997,10.55743,10.44989,2.865622,2.762681,.223391,.2140213
2012,1,0,59,100336,41717.36,12.47087,19.68522,10.63867,10.54159,2.979868,2.888514,.2045515,.1953674
2012,1,0,60,66391,31832.27,11.65159,15.10578,10.36824,10.20565,2.715077,2.567481,.3169852,.2874617
2012,1,0,61,721069,41741.13,12.05045,19.02339,10.63924,10.50059,2.945669,2.818916,.2858718,.2627301
2012,1,0,62,627787.5,41231.82,12.02944,18.66267,10.62697,10.49321,2.926525,2.805623,.2757409,.2545851
2012,1,0,63,228131,50293.97,13.06842,22.17368,10.82564,10.7005,3.098906,2.981277,.2540636,.2388405
2012,1,0,64,1944424,43598.12,12.30066,18.20751,10.68277,10.52383,2.901834,2.756091,.3167053,.2920401
2012,1,0,65,372843.5,54814.78,12.25482,23.16061,10.91172,10.76397,3.142453,3.004274,.3076308,.2874799
2012,1,0,66,881832,34593.94,12.29813,16.21577,10.45143,10.29767,2.785984,2.6431,.3030305,.2808447
2012,2,0,0,1.38e+07,,14.90933,,,,,,,
2012,2,0,1,2981205,70527.07,15.48045,30.86562,11.16375,10.94269,3.429643,3.22794,.434219,.4028094
2012,2,0,2,2194841,60277.12,15.38894,27.59146,11.00671,10.83667,3.317507,3.16629,.3146728,.284629
2012,2,0,3,24711,63048.22,17.9087,29.46548,11.05165,10.91291,3.383219,3.251837,.3011525,.2859855
2012,2,0,4,116173.5,80506.17,16.81851,36.8672,11.29609,11.18325,3.607322,3.499113,.2334866,.2277443
2012,2,0,5,362629.5,66509.4,15.52725,30.91562,11.1051,10.96917,3.431262,3.303216,.2760797,.2619478
2012,2,0,6,134889.5,67345.52,18.19092,30.82762,11.11759,10.97662,3.428411,3.291756,.2804701,.2812647
2012,2,0,7,235975.5,136802.7,19.86562,57.86177,11.82629,11.53256,4.058057,3.738107,.6218686,.7050875
2012,2,0,8,1454648,64686.29,16.6386,31.86464,11.0773,10.98216,3.461497,3.368952,.199239,.1959838
2012,2,0,9,420909.5,59926.98,18.31409,29.45196,11.00088,10.89726,3.38276,3.282466,.218849,.2129813
2012,2,0,10,283669.5,57900,19.98557,25.93588,10.96647,10.81068,3.255627,3.107875,.3306516,.3155474
2012,2,0,11,3097612,43834.88,17.42624,20.47545,10.68818,10.56583,3.019227,2.90126,.2779178,.2581775
2012,2,0,12,73824,47285.65,18.76195,23.15503,10.76396,10.67068,3.142212,3.052296,.2078133,.1976189
2012,2,0,13,178278.5,71167.89,18.17699,32.42085,11.1728,11.001,3.478802,3.323574,.3317267,.3075486
2012,2,0,14,447423,41564.11,17.24401,19.96499,10.63499,10.53052,2.99398,2.89187,.2247998,.2191434
2012,2,0,15,234001.5,124822.3,19.39931,52.47137,11.73465,11.48582,3.960268,3.733759,.5056289,.4610595
2012,2,0,16,535931.5,51680.37,16.85756,23.89273,10.85283,10.61609,3.173574,2.952703,.519083,.4909268
2012,2,0,17,738593.5,45176.13,14.78063,22.38778,10.71832,10.6081,3.108515,2.996743,.2258637,.2305369
2012,2,0,18,90198,46966.93,14.9407,22.29325,10.7572,10.63767,3.104284,2.99234,.2374189,.2255298
2012,2,0,19,26490,50436.53,14.50615,23.58374,10.82847,10.68388,3.160558,3.0228,.2834805,.2682261
2012,2,0,20,415068,59986.42,15.27481,28.29315,11.00187,10.85778,3.34262,3.206077,.2906426,.2775504
2012,2,0,21,2916908,45350.72,14.58836,20.71206,10.72218,10.4273,3.030716,2.773809,.5504231,.4807085
2012,2,0,22,1694123,36384.27,14.08379,17.8332,10.50189,10.39618,2.881062,2.781139,.214844,.2027121
2012,2,0,23,558350,30317.81,14.11363,14.94097,10.31949,10.20984,2.704107,2.6053,.2112575,.1922123
2012,2,0,24,242575,34994.07,14.54963,17.01933,10.46293,10.35353,2.83435,2.734038,.2203374,.2050858
2012,2,0,25,855552.5,37011.76,13.89835,18.01044,10.51899,10.41724,2.890952,2.795522,.1972573,.1862672
2012,2,0,26,19721,41001.22,13.31068,19.92775,10.62136,10.53029,2.992113,2.903756,.2064797,.2023786
2012,2,0,27,52176.5,36996.7,13.76673,17.9429,10.51858,10.37427,2.887194,2.751365,.2677616,.2463593
2012,2,0,28,115634,43646.76,13.5254,20.9844,10.68388,10.59662,3.043779,2.962239,.2082434,.1966605
2012,2,0,29,523027,34687.49,13.42809,16.52356,10.45413,10.32359,2.804787,2.689929,.2573886,.2271187
2012,2,0,30,1042316,37745.88,13.98835,18.09914,10.53863,10.41436,2.895864,2.784648,.2443212,.2199839
2012,2,0,31,949795.5,34922.43,14.12889,17.02267,10.46088,10.35614,2.834546,2.737957,.2053607,.1905615
2012,2,0,32,424942.5,19860.78,12.84562,10.18637,9.896502,9.753524,2.321051,2.186215,.2762182,.2611752
2012,2,0,33,10736.5,62960.74,14.39808,25.5483,11.05027,10.95524,3.240571,3.130044,.2022906,.2302745
2012,2,0,34,160441.5,54520.29,14.38086,25.24624,10.90633,10.78241,3.228677,3.109185,.2594065,.2532674
2012,2,0,35,90761.5,38808.38,14.1375,18.34767,10.56639,10.3894,2.909503,2.747733,.3430952,.3151169
2012,2,0,36,1327004,21415.5,14.08054,10.95934,9.97187,9.832745,2.394192,2.269569,.2606797,.2367646
2012,2,0,37,1329922,27628.94,13.85913,13.72648,10.22662,10.10484,2.619327,2.502204,.2379869,.2339787
2012,2,0,38,286229,23949.29,12.78024,11.78896,10.08369,9.947981,2.467164,2.343837,.2630522,.2401302
2012,2,0,39,1092996,28139.22,14.74076,13.68406,10.24492,10.03066,2.616231,2.403897,.4544771,.459217
2012,2,0,40,40851.5,38817.53,14.17894,15.60399,10.56663,10.10253,2.747527,2.283073,1.01137,1.042512
2012,2,0,41,76032.5,24237.97,11.07211,10.90396,10.09568,9.882424,2.389126,2.189543,.3686597,.3745401
2012,2,0,42,117325.5,27417.46,13.46157,13.14318,10.21894,10.03051,2.575903,2.396611,.3699159,.3612522
2012,2,0,43,7467,34796.31,13.74434,16.18946,10.45727,10.30746,2.78436,2.625643,.3017061,.3220531
2012,2,0,44,36011.5,46901.43,13.29681,21.19629,10.7558,10.60582,3.053826,2.909982,.3294256,.3195633
2012,2,0,45,35623.5,47641.43,13.75617,22.39728,10.77146,10.63361,3.108939,2.969992,.2895968,.2945648
2012,2,0,46,26013.5,38422.01,13.75747,18.40583,10.55639,10.37303,2.912668,2.733681,.400441,.3938176
2012,2,0,47,89381.5,40156.45,13.21553,18.82872,10.60054,10.37434,2.935383,2.717482,.4864928,.4670117
2012,2,0,48,2581,49955.68,12.74777,22.23742,10.81889,10.65952,3.101777,2.98236,.3320092,.2610503
2012,2,0,49,82666.5,47390.32,13.15241,21.27559,10.76617,10.59497,3.05756,2.900138,.3159925,.2917686
2012,2,0,50,11325,36021.13,12.41943,16.80475,10.49186,10.33467,2.821661,2.666425,.2814137,.2616776
2012,2,0,51,3610.5,30006.26,13.09708,14.54882,10.30916,10.18562,2.67751,2.548795,.2517372,.2680087
2012,2,0,52,21197,26393.97,13.82035,12.54204,10.18089,9.951973,2.529086,2.318728,.4635012,.4395524
2012,2,0,53,253143.5,33103.75,13.99705,16.52045,10.4074,10.30612,2.804599,2.70799,.1937321,.1814695
2012,2,0,54,91414.5,24428.86,12.56316,12.06945,10.10352,9.983243,2.490677,2.384937,.2510799,.2267368
2012,2,0,55,6639.5,52157.28,13.48565,24.15526,10.86202,10.73497,3.184502,3.063515,.2827674,.2666979
2012,2,0,56,14516,29856.55,11.97286,13.90028,10.30416,10.15384,2.631909,2.494928,.2747212,.2433014
