λf,share_teachers_female,κ,share_teachers_male,γ,p90_p10_ω_teachers,θ,p90_p10_w_other,η,α
0.879,0.0374,0.2895,0.0247,0.83,7.56,1.476,9.99,0.103,1.0
0.879,0.0371,0.288,0.0245,0.83,7.56,1.476,9.99,0.103,1.0
0.879,0.0363,0.284,0.024,0.83,7.55,1.476,9.99,0.103,1.0
0.88,0.0363,0.284,0.024,0.83,7.55,1.476,9.99,0.103,1.0
0.89,0.0356,0.284,0.024,0.83,7.53,1.476,9.99,0.103,1.0
0.885,0.0359,0.284,0.024,0.83,7.54,1.476,9.99,0.103,1.0
0.884,0.036,0.284,0.024,0.83,7.54,1.476,9.99,0.103,1.0
0.884,0.036,0.284,0.024,0.83,7.54,1.476,9.99,0.103,1.0
0.884,0.036,0.284,0.024,0.83,7.54,1.476,9.99,0.103,1.0
0.884,0.036,0.284,0.024,0.83,7.54,1.476,9.99,0.103,1.0
